"Course Name","Course Lowest Level","Course Highest Level","Instructor's Name","Semester","Day (1)","Period (1)","Day (2)","Period (2)","Day (3)","Period (3)","Overall Satisfaction","Difficulty of achieving high score","Is the class beneficial","Overall comment and evaluation regarding the class/instructor"
"旅行で学ぶ",2,3,"森元桂子","Full Year","Tuesday",3,,,,,4,4,4,"教授人很好，作業算偏多的，然後很多同學都是低填，但基本上只要該做的有做要拿高分不難。"
"文法トレーニング",1,1,"今井　新悟","Full Year","Tuesday",4,,,,,1,5,1,"什麼也學不到的課，教授不上課，每次都做一樣的事。只要作業有交，考試有考基本上沒什麼問題，但真的每次都不想去上課。"
"私とあなたで学ぶ",2,2,"森元桂子、金龍男","Full Year","Wednesday",1,"Wednesday",2,"Friday",3,4,5,4,"基本上出席率很重要，教授人都很好，可以遇到一堆超會講的人，如果不太敢講日文的人滿推的，會讓自己被逼的要講。"
"自分表現でクラスメイトと日本語を学び合う",2,2,"江原　恵美子","Full Year","Saturday",2,,,,,5,3,4,"教授人很好，打分比較嚴格，但是看得出來他每次都很用心準備每一節課的東西。"
"Discussion & Speech through Reading Japanese Short Stories",1,2,"FUKUSHIMA, Emiko","Fall","Wednesday",3,,,,,5,5,5,"每週上課讀繪本（老師印的講義），有一個期中報告要介紹一本書，沒有期末。老師人超好，上課會有跟同學交流討論的機會，很輕鬆也滿簡單的。"
"日本語の発音（リズム・アクセント・イントネーション）を学ぶ３－４",3,4,"木下直子","Full Year","Wednesday",1,,,,,5,5,4,"有的人可能會覺得上課內容很無聊，但其實可以學到很多發音相關的內容，期末考是選一段影片配音，老師人很溫柔。"
"Express yourself in Japanese by collaborative learning 2 (Japanese course for International Student)",2,2,"EBARA, Mieko","Fall","Friday",2,,,,,5,4,4,"老師很活潑有活力，講課時會以一點點英文輔助。每堂都會點名。上課一開始通常會玩小遊戲，然後會做一個活動，寫學習單或用日文講話。平時沒有回家作業，也沒有期中考，期末時要小組自己出去玩，然後交一份心得和小組presentation。
個人蠻推這堂課，課業不重，可以去那邊放輕鬆拿學分，也提供機會練習日文。"
"Understanding Japanese Society: Watching, Summarization and Telling",4,5,"Yuka Nishibe","Full Year","Monday",4,,,,,5,5,5,"極充實的一堂課，作業量較重，但非常值得。教授將每堂課安排得妥妥當當，每週有宿題，一學期有三次發表，跟著教授的進度，不會吃力。上課內容為讀新聞文章or 聽新聞or 看電視新聞片段，搜集關鍵字、まとめ、段落解析、與同學討論分享。聽說讀寫皆可訓練到，個人挺推的。"
"Conversation Practice: Talking about Yourself",3,4,"Michiko Kumada","Fall","Tuesday",2,,,,,5,5,4,"出席率看很重，上課主要與同學練習會話，可混可認真，每週都有宿題，一學期兩次發表，不太敢開口講日文的 or 想練口說的可以試試這堂課。"
"Learn practical kanji vocabulary by life mapping",3,5,"Mieko Ebara","Fall","Friday",3,,,,,3,5,2,"出席率看很重，水分十足的一堂課，想交朋友的可以選這堂，一學期一次團體發表，兩個レポート，レポート字數600~800，內容偏像課後心得、學習漢字的感想，沒什麼挑戰性，混學分可選～"
"待遇コミュニケーション７-８",7,8,"宇都宮　陽子","Fall","Friday",3,,,,,5,4,5,"作業：偶爾
考試：無
評分標準：出席＋數次作業＋課堂分組報告

好課＋好老師！！推薦！！
這堂課就是一門教你「日本人龜毛之精髓」的課。老師自編了一套講義，依照不同對象、場合、目的探討各種合時宜且得體的「表達自己」的好方法。課堂上有4位ボランティア日本學生，好幾位歸國子女，同學們程度也都很高，常常可以聽到很多有趣而值得思考的意見。
身為外國人，上完這堂課，覺得對於日本人的許多眉眉角角、龜龜毛毛有了「原來是這麼回事！」的理解。更重要的是在自己的日文應用邏輯中，建立了「什麼時候/對象/場合」--->「什麼程度的語氣掌控」的系統，非常受用。
"
"流行語と日本社会3-4",3,4,"新井久容","Spring","Tuesday",2,,,,,2,2,3,"老師會給同學近三四年的日本票選十大流行語，然後每個同學選一個流行語去做深度探討報告，老師嚴格到不行，對一些小問題鑽牛角尖，每個禮拜都有人報告，聽報告的人回家還要繳交那個禮拜所報告的流行語心得，報告跟心得的分數看很重，期末考還要針對自己的流行語再做更深度的探討然後寫小論文，不推這堂課，學得也只有這三十個流行語。"
